131;1;0;1;2;1;1;3;0;3;2;1;0;2;2;2;0;2;1;2;2;0;0;
132;0;0;3;0;1;3;2;1;2;1;0;0;2;0;2;2;1;2;2;1;0;1;
133;1;3;1;0;1;2;2;2;0;2;0;1;2;2;0;2;2;0;1;0;1;1;
134;1;2;0;1;2;2;3;2;2;2;0;0;2;2;1;0;0;1;0;1;2;2;
135;0;3;0;1;2;3;0;1;1;2;0;1;0;0;1;1;2;0;0;2;2;1;
136;1;3;2;2;0;1;0;0;2;2;2;0;0;0;0;2;0;2;2;2;1;0;
137;1;2;3;3;4;2;2;2;1;2;2;1;1;1;2;1;1;1;0;1;0;2;
138;2;1;3;3;1;1;2;2;0;1;1;1;2;1;2;2;2;0;2;2;0;0;
139;1;2;2;5;2;0;0;1;2;0;1;2;2;0;2;2;2;1;1;2;1;0;
140;4;2;0;2;2;1;2;2;2;1;2;0;1;1;1;2;0;2;0;1;0;0;
141;0;1;0;1;1;0;1;1;1;2;0;2;1;1;1;2;1;0;0;0;2;2;
142;1;3;5;0;3;1;2;2;1;2;0;0;0;0;1;1;1;2;0;1;0;0;
143;1;0;3;1;3;0;2;2;0;1;2;0;2;2;1;0;0;1;0;2;0;1;
144;0;2;4;1;1;0;0;0;0;2;1;2;2;1;1;2;1;1;2;2;1;1;
145;1;0;0;2;2;0;3;0;0;2;1;2;2;0;0;1;2;0;1;0;1;1;
146;3;2;3;3;1;0;0;0;2;1;2;0;1;0;1;2;2;2;0;1;2;2;
147;1;1;0;2;2;0;2;2;2;0;0;0;2;0;1;2;2;2;1;2;1;1;
148;0;3;0;1;3;1;0;2;1;2;1;2;2;0;2;1;2;0;0;1;0;1;
149;0;2;1;3;0;3;0;1;1;0;2;1;0;1;2;1;2;1;1;0;2;2;
150;2;0;0;0;0;2;1;4;2;3;1;2;2;0;1;2;0;1;1;0;0;0;
151;3;0;2;2;2;0;1;1;1;1;0;1;1;1;2;1;1;1;1;2;2;2;
152;1;3;1;1;0;1;1;2;0;0;2;2;1;1;1;0;2;1;1;0;1;1;
153;0;4;4;5;2;1;2;0;1;2;2;2;0;1;0;1;1;1;2;0;2;0;
154;2;2;0;0;0;0;3;1;1;0;2;2;1;2;0;2;0;2;1;0;0;0;
155;3;4;1;0;1;0;0;0;2;0;1;0;0;1;1;2;2;2;0;0;2;2;
156;0;0;3;1;1;0;1;1;2;1;0;0;0;0;1;0;1;0;1;2;2;1;
157;0;0;2;1;0;2;3;0;2;0;0;0;0;2;2;2;2;0;0;1;1;0;
158;0;3;0;1;3;0;1;0;0;1;0;1;1;2;1;2;2;1;0;0;1;0;
159;2;2;1;1;2;2;1;2;0;0;0;2;1;0;0;0;0;2;2;1;1;0;
160;0;3;0;0;2;1;0;0;1;1;2;0;2;2;2;2;1;1;1;2;2;2;
161;3;4;5;1;1;0;1;0;2;0;2;2;1;1;2;2;1;1;0;1;1;1;
162;1;1;5;0;2;1;0;2;2;2;0;2;2;2;0;2;2;0;2;0;0;2;
163;0;4;0;0;2;1;2;1;1;0;2;0;0;1;1;0;0;2;0;0;0;1;
164;0;1;3;0;0;0;0;2;1;0;2;1;0;1;2;2;0;2;2;0;0;1;
165;3;0;1;4;1;1;1;1;1;0;0;1;1;1;0;0;2;1;0;1;1;0;
166;1;1;5;1;3;1;2;1;0;1;2;0;1;2;0;2;1;1;2;2;0;2;
167;0;0;3;1;2;2;2;1;1;1;0;0;0;1;1;2;2;0;0;2;2;1;
168;4;0;5;1;1;1;2;1;1;1;1;1;0;1;0;2;2;1;2;1;0;0;
169;3;3;0;1;1;0;2;0;0;0;1;0;1;1;1;1;0;2;1;0;2;0;
170;0;0;4;3;0;2;0;1;2;2;2;0;2;2;2;2;2;1;1;1;0;1;
171;2;1;0;5;1;3;1;2;1;1;0;0;0;2;0;1;0;2;2;1;2;2;
172;2;1;0;0;2;2;3;1;0;0;0;2;1;0;2;2;2;1;0;1;2;2;
173;1;1;0;2;1;0;1;0;2;0;0;0;0;2;0;1;1;1;1;2;2;0;
174;0;4;0;1;0;0;2;0;0;0;0;1;1;0;2;1;2;1;1;0;0;1;
175;0;0;0;1;1;0;0;2;0;2;1;2;1;2;0;2;2;1;2;2;0;0;
176;0;1;2;1;2;1;0;1;1;0;0;0;2;1;0;2;2;2;2;0;1;1;
177;0;2;3;2;3;2;0;1;0;1;1;2;1;2;1;2;0;1;2;1;0;0;
178;0;1;2;0;0;2;0;2;2;0;1;2;1;2;0;2;0;0;2;1;1;1;
179;2;0;2;3;4;1;1;0;2;0;2;1;0;2;1;2;2;2;0;0;2;1;
180;2;2;2;2;2;2;1;0;1;1;2;2;0;1;2;0;0;0;1;0;0;1;
